short;true;predict
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;7
kukurydza;0;4
kukurydza;0;0
kukurydza;0;4
kukurydza;0;9
kukurydza;0;12
kukurydza;0;4
kukurydza;0;4
kukurydza;0;5
kukurydza;0;5
kukurydza;0;5
kukurydza;0;4
kukurydza;0;0
kukurydza;0;7
kukurydza;0;5
kukurydza;0;5
kukurydza;0;5
kukurydza;0;1
kukurydza;0;12
kukurydza;0;7
kukurydza;0;4
kukurydza;0;5
kukurydza;0;13
kukurydza;0;0
kukurydza;0;5
kukurydza;0;3
kukurydza;0;4
kukurydza;0;0
kukurydza;0;5
kukurydza;0;0
kukurydza;0;7
kukurydza;0;13
kukurydza;0;4
kukurydza;0;0
kukurydza;0;1
kukurydza;0;3
kukurydza;0;13
kukurydza;0;4
kukurydza;0;4
kukurydza;0;12
kukurydza;0;9
kukurydza;0;0
kukurydza;0;4
kukurydza;0;4
kukurydza;0;0
kukurydza;0;4
kukurydza;0;12
kukurydza;0;5
kukurydza;0;4
kukurydza;0;5
kukurydza;0;12
kukurydza;0;3
kukurydza;0;12
kukurydza;0;3
kukurydza;0;0
kukurydza;0;4
kukurydza;0;5
kukurydza;0;5
kukurydza;0;5
kukurydza;0;0
kukurydza;0;0
kukurydza;0;7
kukurydza;0;0
kukurydza;0;12
kukurydza;0;3
kukurydza;0;5
kukurydza;0;0
kukurydza;0;4
kukurydza;0;3
kukurydza;0;4
kukurydza;0;4
kukurydza;0;8
kukurydza;0;13
kukurydza;0;1
kukurydza;0;5
kukurydza;0;4
kukurydza;0;4
kukurydza;0;9
kukurydza;0;2
kukurydza;0;1
kukurydza;0;1
kukurydza;0;9
kukurydza;0;13
kukurydza;0;4
kukurydza;0;12
kukurydza;0;3
kukurydza;0;12
kukurydza;0;13
kukurydza;0;13
kukurydza;0;5
kukurydza;0;4
kukurydza;0;9
kukurydza;0;6
kukurydza;0;4
kukurydza;0;1
kukurydza;0;0
kukurydza;0;12
kukurydza;0;3
kukurydza;0;0
kukurydza;0;5
kukurydza;0;0
kukurydza;0;4
kukurydza;0;6
kukurydza;0;0
kukurydza;0;3
kukurydza;0;3
kukurydza;0;4
kukurydza;0;9
kukurydza;0;9
kukurydza;0;5
kukurydza;0;9
kukurydza;0;5
kukurydza;0;12
kukurydza;0;0
kukurydza;0;9
kukurydza;0;9
kukurydza;0;8
kukurydza;0;1
kukurydza;0;0
kukurydza;0;3
kukurydza;0;13
kukurydza;0;12
kukurydza;0;4
kukurydza;0;4
kukurydza;0;1
kukurydza;0;5
kukurydza;0;12
kukurydza;0;3
kukurydza;0;1
kukurydza;0;0
kukurydza;0;5
kukurydza;0;1
kukurydza;0;0
kukurydza;0;3
kukurydza;0;0
kukurydza;0;5
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;7
kukurydza;0;3
kukurydza;0;5
kukurydza;0;5
kukurydza;0;4
kukurydza;0;4
kukurydza;0;14
kukurydza;0;12
kukurydza;0;12
kukurydza;0;5
kukurydza;0;12
kukurydza;0;1
kukurydza;0;0
kukurydza;0;0
kukurydza;0;6
kukurydza;0;0
kukurydza;0;5
kukurydza;0;4
kukurydza;0;13
kukurydza;0;4
kukurydza;0;13
kukurydza;0;13
kukurydza;0;9
kukurydza;0;5
kukurydza;0;13
kukurydza;0;12
kukurydza;0;4
kukurydza;0;9
kukurydza;0;4
kukurydza;0;0
kukurydza;0;5
kukurydza;0;12
kukurydza;0;12
kukurydza;0;4
kukurydza;0;4
kukurydza;0;0
kukurydza;0;13
kukurydza;0;0
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;12
kukurydza;0;4
kukurydza;0;8
kukurydza;0;12
kukurydza;0;5
kukurydza;0;5
kukurydza;0;4
kukurydza;0;4
kukurydza;0;12
kukurydza;0;4
kukurydza;0;0
kukurydza;0;5
kukurydza;0;3
kukurydza;0;7
kukurydza;0;4
kukurydza;0;3
kukurydza;0;4
kukurydza;0;5
kukurydza;0;4
kukurydza;0;0
kukurydza;0;1
kukurydza;0;4
kukurydza;0;3
kukurydza;0;0
kukurydza;0;0
kukurydza;0;4
kukurydza;0;9
kukurydza;0;0
kukurydza;0;7
kukurydza;0;11
kukurydza;0;0
kukurydza;0;13
kukurydza;0;12
kukurydza;0;5
kukurydza;0;6
kukurydza;0;4
kukurydza;0;4
kukurydza;0;3
kukurydza;0;13
kukurydza;0;4
kukurydza;0;13
kukurydza;0;2
kukurydza;0;1
kukurydza;0;13
kukurydza;0;12
kukurydza;0;12
kukurydza;0;4
kukurydza;0;12
kukurydza;0;3
kukurydza;0;1
kukurydza;0;5
kukurydza;0;5
kukurydza;0;13
kukurydza;0;4
kukurydza;0;1
kukurydza;0;0
kukurydza;0;4
kukurydza;0;1
kukurydza;0;4
kukurydza;0;5
kukurydza;0;9
kukurydza;0;4
kukurydza;0;3
kukurydza;0;12
kukurydza;0;9
kukurydza;0;5
kukurydza;0;0
kukurydza;0;5
kukurydza;0;4
kukurydza;0;0
kukurydza;0;0
kukurydza;0;12
kukurydza;0;4
kukurydza;0;4
kukurydza;0;12
kukurydza;0;12
kukurydza;0;0
kukurydza;0;12
kukurydza;0;5
kukurydza;0;2
kukurydza;0;3
kukurydza;0;4
kukurydza;0;6
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;12
kukurydza;0;9
kukurydza;0;4
kukurydza;0;6
kukurydza;0;12
kukurydza;0;5
kukurydza;0;5
kukurydza;0;3
kukurydza;0;4
kukurydza;0;4
kukurydza;0;0
kukurydza;0;3
kukurydza;0;0
kukurydza;0;4
kukurydza;0;1
kukurydza;0;3
kukurydza;0;12
kukurydza;0;4
kukurydza;0;3
kukurydza;0;12
kukurydza;0;13
kukurydza;0;1
kukurydza;0;4
kukurydza;0;13
kukurydza;0;9
kukurydza;0;4
kukurydza;0;0
kukurydza;0;5
kukurydza;0;4
kukurydza;0;3
kukurydza;0;12
kukurydza;0;13
kukurydza;0;3
kukurydza;0;13
kukurydza;0;9
kukurydza;0;3
kukurydza;0;4
kukurydza;0;13
kukurydza;0;2
kukurydza;0;0
kukurydza;0;9
kukurydza;0;4
kukurydza;0;0
kukurydza;0;0
kukurydza;0;9
kukurydza;0;0
kukurydza;0;12
kukurydza;0;5
kukurydza;0;5
kukurydza;0;0
kukurydza;0;3
kukurydza;0;4
kukurydza;0;5
kukurydza;0;5
kukurydza;0;3
kukurydza;0;7
kukurydza;0;4
kukurydza;0;5
kukurydza;0;4
kukurydza;0;13
kukurydza;0;6
kukurydza;0;13
kukurydza;0;0
kukurydza;0;4
kukurydza;0;0
kukurydza;0;0
kukurydza;0;4
kukurydza;0;3
kukurydza;0;0
kukurydza;0;0
kukurydza;0;5
kukurydza;0;0
kukurydza;0;0
kukurydza;0;4
kukurydza;0;0
kukurydza;0;3
kukurydza;0;4
kukurydza;0;4
kukurydza;0;5
kukurydza;0;13
kukurydza;0;7
kukurydza;0;3
kukurydza;0;4
kukurydza;0;0
kukurydza;0;6
kukurydza;0;0
kukurydza;0;6
kukurydza;0;0
kukurydza;0;12
kukurydza;0;12
kukurydza;0;3
kukurydza;0;4
kukurydza;0;12
kukurydza;0;6
kukurydza;0;12
kukurydza;0;12
kukurydza;0;0
kukurydza;0;9
kukurydza;0;0
kukurydza;0;0
kukurydza;0;0
kukurydza;0;1
kukurydza;0;9
kukurydza;0;6
kukurydza;0;3
kukurydza;0;4
kukurydza;0;4
kukurydza;0;0
kukurydza;0;4
kukurydza;0;5
kukurydza;0;4
kukurydza;0;3
kukurydza;0;12
kukurydza;0;5
kukurydza;0;2
kukurydza;0;0
kukurydza;0;4
kukurydza;0;5
kukurydza;0;2
kukurydza;0;5
kukurydza;0;0
kukurydza;0;9
kukurydza;0;4
kukurydza;0;4
kukurydza;0;4
kukurydza;0;12
kukurydza;0;0
kukurydza;0;5
kukurydza;0;0
burakC;1;5
burakC;1;6
burakC;1;0
burakC;1;5
burakC;1;0
burakC;1;1
burakC;1;5
burakC;1;4
burakC;1;5
burakC;1;13
burakC;1;7
burakC;1;6
burakC;1;4
burakC;1;12
burakC;1;5
burakC;1;12
burakC;1;7
burakC;1;9
burakC;1;3
burakC;1;9
burakC;1;5
burakC;1;9
burakC;1;12
burakC;1;9
burakC;1;1
burakC;1;5
burakC;1;5
burakC;1;5
burakC;1;3
burakC;1;1
burakC;1;9
burakC;1;0
burakC;1;3
burakC;1;5
burakC;1;3
burakC;1;5
burakC;1;13
burakC;1;1
burakC;1;3
burakC;1;7
burakC;1;13
burakC;1;12
burakC;1;9
burakC;1;3
burakC;1;1
burakC;1;6
burakC;1;3
burakC;1;8
burakC;1;3
burakC;1;5
burakC;1;0
burakC;1;1
burakC;1;5
burakC;1;12
burakC;1;12
burakC;1;0
burakC;1;3
burakC;1;6
burakC;1;12
burakC;1;5
burakC;1;12
burakC;1;0
burakC;1;0
burakC;1;5
burakC;1;13
burakC;1;12
burakC;1;9
burakC;1;9
burakC;1;9
burakC;1;0
burakC;1;12
burakC;1;12
burakC;1;3
burakC;1;1
burakC;1;12
burakC;1;3
burakC;1;12
burakC;1;6
burakC;1;10
burakC;1;7
burakC;1;2
burakC;1;7
burakC;1;12
burakC;1;9
burakC;1;7
burakC;1;7
burakC;1;7
burakC;1;5
burakC;1;3
burakC;1;12
burakC;1;12
burakC;1;3
burakC;1;3
burakC;1;8
burakC;1;0
burakC;1;13
burakC;1;5
burakC;1;5
burakC;1;8
burakC;1;2
burakC;1;0
burakC;1;3
burakC;1;12
burakC;1;7
burakC;1;5
burakC;1;3
burakC;1;5
burakC;1;0
burakC;1;9
burakC;1;1
burakC;1;3
burakC;1;0
burakC;1;2
burakC;1;13
burakC;1;3
burakC;1;13
burakC;1;12
burakC;1;9
burakC;1;3
burakC;1;5
rzepakO;2;5
rzepakO;2;1
rzepakO;2;12
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;3
rzepakO;2;3
rzepakO;2;5
rzepakO;2;3
rzepakO;2;5
rzepakO;2;5
rzepakO;2;2
rzepakO;2;5
rzepakO;2;5
rzepakO;2;2
rzepakO;2;2
rzepakO;2;7
rzepakO;2;5
rzepakO;2;2
rzepakO;2;3
rzepakO;2;2
rzepakO;2;5
rzepakO;2;2
rzepakO;2;3
rzepakO;2;2
rzepakO;2;2
rzepakO;2;2
rzepakO;2;1
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;2
rzepakO;2;2
rzepakO;2;5
rzepakO;2;8
rzepakO;2;2
rzepakO;2;2
rzepakO;2;8
rzepakO;2;13
rzepakO;2;3
rzepakO;2;3
rzepakO;2;2
rzepakO;2;2
rzepakO;2;2
rzepakO;2;3
rzepakO;2;12
rzepakO;2;5
rzepakO;2;0
rzepakO;2;3
rzepakO;2;2
rzepakO;2;9
rzepakO;2;2
rzepakO;2;2
rzepakO;2;12
rzepakO;2;8
rzepakO;2;5
rzepakO;2;2
rzepakO;2;2
rzepakO;2;5
rzepakO;2;5
rzepakO;2;3
rzepakO;2;3
rzepakO;2;5
rzepakO;2;1
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;5
rzepakO;2;2
rzepakO;2;3
rzepakO;2;5
rzepakO;2;2
rzepakO;2;8
