;pt;ba;f1;fm;bm;mk
kukurydza;0.3325854;0.5626399;0.2467772;0.2814183;0.1252797;0.3116829
burakC;0.4825368;0.5043478;0.0645161;0.0645497;0.0086957;0.0081838
rzepakO;0.1688684;0.634696;0.3798882;0.4058562;0.2693919;0.5454001
jeczmienO;0.5214391;0.4949054;0.0557492;0.0557658;-0.0101891;-0.010662
lucerna;0.6963255;0.4598317;0.0075187;0.0094117;-0.0803366;-0.0216077
trawy;0.6820374;0.4666562;0.0084388;0.0100595;-0.0666875;-0.0209431
pszenicaO;0.4062191;0.5101593;0.066066;0.0966251;0.0203185;0.1153069
TUZ;0.5500205;0.4966043;0.0239521;0.0357585;-0.0067914;-0.0406516
zytoO;1.0;0.4949349;;0.0;-0.0101302;-0.0539419
pszenicaJ;0.5442618;0.4733616;0.0050251;0.0179029;-0.0532768;-0.0013248
rzepikO;1.0;0.4988569;;0.0;-0.0022862;-0.001373
pszenzytoO;0.5146252;0.4996912;0.0096618;0.0287955;-0.0006177;-0.016988
jeczmienJ;0.5154164;0.4883596;0.0866551;0.1008294;-0.0232807;-0.0087951
ziemniak;1.0;0.422212;;0.0;-0.155576;-0.0059427
owies;1.0;0.491659;;0.0;-0.0166821;-0.0148561
